alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,local Ph,FEHCOOH/FECO
0,0,0,1,0,1,0,0,0,0,0,0,0,8.419836501,0.480392157
0,0,0,1,0,1,0,0,0,0,0,0,0,8.282426122,2.079365079
0,0,0,0,0,0,1,0,0,0,0,0,0,8.34625564,0.970588235
0,0,0,1,0,1,0,0,0,0,0,0,0,8.39078156,1.483333333
0,1,0,0,0,1,0,0,0,0,0,0,0,8.307493268,2.139130435
0,0,1,1,0,1,0,0,0,0,0,0,0,8.340162268,1.017699115
0,0,0,1,0,1,0,0,0,0,0,0,0,8.444827753,2.926829268
0,0,0,1,0,1,0,0,0,0,0,0,0,8.169757441,2.2265625
0,0,0,1,0,1,0,0,0,0,0,0,0,8.236905013,1.764135703
0,0,0,1,0,1,0,0,0,0,0,0,0,8.506064355,2.035714286
0,0,1,1,0,1,0,0,0,0,0,0,0,8.348491786,0.414590747
0,0,0,1,0,1,0,0,1,0,0,0,0,8.405390047,0.077777778
0,0,0,1,0,1,0,0,0,0,0,0,0,8.230100439,2.966183575
0,0,0,0,0,1,1,0,0,0,0,0,0,8.405474876,0.416923077
1,0,0,1,0,0,0,0,0,0,0,0,0,8.125927413,0.296052632
0,0,1,0,0,0,1,0,0,0,0,0,0,8.40859392,0.908794788
0,0,0,0,0,1,0,0,0,1,0,0,0,8.391041756,0.432809773
0,0,0,0,0,1,1,0,0,0,0,0,0,8.376892971,0.714821764
0,0,0,0,0,0,0,0,0,1,0,0,0,8.00026285,0.867052023
0,0,0,0,0,1,1,0,0,0,0,0,0,8.331931598,0.423728814
0,0,0,1,0,0,1,0,0,0,0,0,0,8.246006745,1.654135338
0,0,0,0,0,1,1,0,0,0,0,0,0,8.181881319,0.469230769
0,0,0,1,0,0,0,0,0,1,0,0,0,8.277112034,0.837719298
0,0,0,0,0,0,1,0,0,0,0,0,0,8.585127934,3.333333333
0,0,0,0,0,0,1,0,0,0,0,1,0,8.080146741,0.598275862
0,0,0,0,0,0,1,0,0,0,0,0,0,8.094007197,0
0,0,0,0,0,0,1,0,0,0,0,0,0,8.494299642,1.219512195
0,0,0,0,1,0,1,1,0,0,0,0,0,8.236384566,0.327868852
1,0,0,0,0,0,1,0,0,0,0,0,0,8.139573587,0.650666667
1,0,0,0,0,0,1,0,0,0,0,0,0,8.202091351,2.032110092
0,0,0,0,0,0,1,0,0,0,0,0,0,8.31437205,0.732484076
0,1,0,0,0,0,1,0,0,0,0,0,0,8.059497799,1.501597444
0,0,0,0,0,1,1,0,0,0,0,0,0,8.422837964,0.321428571
0,0,0,0,0,0,1,0,0,0,0,0,0,8.175829308,0.630434783
0,0,0,0,0,0,1,0,0,0,0,0,0,8.226967858,0.669090909
0,0,0,0,0,0,0,1,0,0,0,0,0,8.188305787,0.640535373
0,0,0,0,0,0,0,0,1,0,0,0,0,8.227276588,1.189873418
0,0,0,0,0,0,0,1,0,0,0,0,0,8.285860763,0.772340426
0,0,0,1,0,0,1,0,0,0,0,0,0,8.201472441,1.241558442
0,0,0,0,0,0,0,0,0,0,0,0,0,8.272495656,0.673076923
0,0,0,1,0,0,0,0,0,0,0,0,0,8.213962948,0.611111111
0,0,0,0,0,0,0,0,1,0,0,0,0,8.283819876,1.5
