alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,FE-C2+
0,0,0,0,0,1,0,0,0,1,0,0,0,3.6
0,0,0,0,0,0,0,1,0,0,0,0,0,12.4
0,0,0,0,0,1,1,0,0,0,0,0,0,18.6
0,0,0,0,0,1,1,0,0,0,0,0,0,3.5
0,0,0,0,0,1,1,0,0,0,0,0,0,42.1
0,0,0,1,0,1,0,0,0,0,0,0,0,17.6
0,0,0,0,1,0,0,0,1,0,0,0,0,10.6
0,1,0,0,0,1,0,0,0,0,0,0,0,32.8
0,1,0,0,0,1,0,0,0,0,0,0,0,24.8
1,0,0,0,0,0,0,1,0,0,0,0,0,10.7
1,0,0,1,0,1,0,0,0,0,0,0,0,11.2
1,0,0,0,0,1,0,0,0,0,0,0,0,35.4
0,1,0,0,0,0,0,0,0,0,0,0,0,16.6
1,0,0,1,0,1,0,0,0,0,0,0,0,21.6
1,0,0,0,0,1,0,0,0,0,0,0,0,29.7
0,0,0,0,0,1,1,0,0,0,0,0,0,41.5
0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,47.6
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,14.7
0,0,0,0,0,1,0,0,0,0,0,0,0,36.9
0,0,0,0,1,0,1,0,0,0,0,0,0,1.1
0,0,0,1,0,1,0,0,0,0,0,0,0,11.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,31.1
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,10.6
0,0,0,0,0,1,0,0,0,0,0,0,0,38.5
