alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,jC2+
0,0,0,0,0,1,0,0,0,1,0,0,0,0.379636364
0,0,0,0,0,0,0,1,0,0,0,0,0,1.0416
0,0,0,0,0,1,1,0,0,0,0,0,0,1.488
0,0,0,0,0,1,1,0,0,0,0,0,0,0.101091667
0,0,0,0,0,1,1,0,0,0,0,0,0,3.402089069
0,0,0,1,0,1,0,0,0,0,0,0,0,1.273904762
0,0,0,0,1,0,0,0,1,0,0,0,0,1.175636364
0,1,0,0,0,1,0,0,0,0,0,0,0,2.422967742
0,1,0,0,0,1,0,0,0,0,0,0,0,2.544137931
1,0,0,0,0,0,0,1,0,0,0,0,0,0.658842593
1,0,0,1,0,1,0,0,0,0,0,0,0,0.890343434
1,0,0,0,0,1,0,0,0,0,0,0,0,1.631176471
0,1,0,0,0,0,0,0,0,0,0,0,0,0.808717949
1,0,0,1,0,1,0,0,0,0,0,0,0,0.870352941
1,0,0,0,0,1,0,0,0,0,0,0,0,2.37006
0,0,0,0,0,1,1,0,0,0,0,0,0,2.957892157
0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,3.169157895
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1.161151515
0,0,0,0,0,1,0,0,0,0,0,0,0,2.76365625
0,0,0,0,1,0,1,0,0,0,0,0,0,0.149547619
0,0,0,1,0,1,0,0,0,0,0,0,0,0.37848
0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,2.99804
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0.879050505
0,0,0,0,0,1,0,0,0,0,0,0,0,2.951666667
1,0,0,0,0,0,0,0,0,0,0,0,0,1.194666667
1,0,0,0,0,1,0,0,0,0,0,0,0,2.3066
0,0,0,0,1,1,0,0,0,0,0,0,0,0.654520833
0,0,0,0,0,0,1,0,0,0,0,0,0,0.628
0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.895
1,0,0,1,0,0,0,0,0,0,0,0,0,1.64964
1,0,0,1,0,1,0,0,0,0,0,0,0,0.82134
0,0,0,1,0,1,0,0,0,0,0,0,0,1.71243
0,0,0,0,0,0,1,0,0,0,0,1,0,3.80424
1,0,0,0,0,0,0,0,0,0,0,0,0,2.82755
1,0,0,0,0,0,0,0,0,0,0,0,0,3.11751
1,0,0,0,0,1,0,0,0,0,0,0,0,0.85725
1,0,0,0,0,1,0,0,0,0,0,0,0,1.17813
0,1,0,0,0,0,1,0,0,0,0,0,0,3.78575
1,0,0,0,0,0,0,0,0,0,0,0,0,0.97
0,0,0,0,0,0,0,0,0,0,0,1,0,2.37688
1,0,0,0,0,0,0,0,0,0,0,0,0,2.47842
0,0,0,0,0,0,0,0,0,0,0,1,0,1.30036
0,0,0,0,0,0,1,0,0,0,0,0,0,2.68065
0,0,0,0,0,0,1,0,0,0,0,0,0,0.07575
0,1,0,0,0,0,0,0,0,0,0,0,0,2.97375
1,0,0,0,0,0,0,0,0,0,0,0,0,1.44129
1,0,0,0,0,0,0,0,0,0,0,0,0,1.80203252
0,0,0,0,0,1,1,0,0,0,0,0,0,3.20933
1,0,0,1,0,0,0,0,0,0,0,0,0,2.57856
1,0,0,0,0,1,0,0,0,0,0,0,0,2.39316
0,0,0,1,0,1,0,0,0,0,0,0,0,4.012736
0,0,0,1,0,1,0,0,0,0,0,0,0,1.95275
0,1,0,0,0,0,0,0,0,0,0,0,0,3.12354
0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0.39259
0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,0,0,3.258181818
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1.16028
0,0,0,0,0,0,0,0,0,0,0,0,0,1.33147
0,0,0,0,0,1,0,0,0,0,0,0,0,0.25615
1,0,0,0,0,0,0,0,0,0,0,0,1,3.93224
1,0,0,0,0,0,0,0,0,0,0,0,1,1.13442
0,1,0,0,0,0,0,0,0,0,0,0,0,0.027
0,0,0,1,0,1,0,0,0,0,0,0,0,0.94848
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,1.4104
1,0,0,0,0,0,0,0,0,0,0,0,0,4.00453
1,0,0,0,0,0,0,0,0,0,0,0,0,1.10176
1,0,0,0,0,0,0,0,0,0,0,0,0,1.80197
1,0,0,0,0,0,0,0,0,0,0,0,0,0.44312
1,0,0,0,0,1,0,0,0,0,0,0,0,0.85499
1,0,0,0,0,0,0,0,0,0,0,0,0,2.32552
1,0,0,0,0,0,0,0,0,0,0,0,0,2.1311
1,0,0,1,0,0,0,0,0,0,0,0,0,2.18436
1,0,0,1,0,0,0,0,0,0,0,0,0,3.84986
0,0,0,1,0,0,0,0,0,0,0,0,0,1.40238
1,0,0,0,0,0,0,0,0,0,0,0,0,2.116
1,0,0,0,0,0,0,0,0,0,0,0,0,2.92864
1,0,0,1,0,0,0,0,0,0,0,0,0,3.2791
1,0,0,1,0,0,0,0,0,0,0,0,0,2.63948
1,0,0,1,0,0,0,0,0,0,0,0,0,3.3352
1,0,0,0,0,0,0,0,0,0,0,0,0,1.2483
0,1,0,1,0,1,0,0,0,0,0,0,0,2.92937
0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0.68696
0,0,0,0,0,0,0,0,0,0,0,1,0,2.1736
0,0,0,0,0,0,0,0,0,0,0,1,0,0.55814
0,0,0,0,0,1,1,0,0,0,0,0,0,0.1215
