alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,FEC1
0,0,0,1,0,1,0,0,0,0,0,0,0,75.5
0,0,0,1,0,1,0,0,0,0,0,0,0,58.2
0,0,0,0,0,0,1,0,0,0,0,0,0,67
0,0,0,1,0,1,0,0,0,0,0,0,0,74.5
0,1,0,0,0,1,0,0,0,0,0,0,0,72.2
0,0,1,1,0,1,0,0,0,0,0,0,0,45.6
0,0,0,1,0,1,0,0,0,0,0,0,0,80.5
0,0,0,1,0,1,0,0,0,0,0,0,0,82.6
0,0,0,1,0,1,0,0,0,0,0,0,0,85.55
0,0,0,1,0,1,0,0,0,0,0,0,0,85
0,0,1,1,0,1,0,0,0,0,0,0,0,79.5
0,0,0,1,0,1,0,0,1,0,0,0,0,97
0,0,0,1,0,1,0,0,0,0,0,0,0,82.1
0,0,0,0,0,1,1,0,0,0,0,0,0,92.1
1,0,0,1,0,0,0,0,0,0,0,0,0,59.1
0,0,1,0,0,0,1,0,0,0,0,0,0,58.6
0,0,0,0,0,1,0,0,0,1,0,0,0,82.1
0,0,0,0,0,1,1,0,0,0,0,0,0,91.4
0,0,0,0,0,0,0,0,0,1,0,0,0,64.6
0,0,0,0,0,1,1,0,0,0,0,0,0,84
0,0,0,1,0,0,1,0,0,0,0,0,0,70.6
0,0,0,0,0,1,1,0,0,0,0,0,0,76.4
0,0,0,1,0,0,0,0,0,1,0,0,0,83.8
0,0,0,0,0,0,1,0,0,0,0,0,0,13
0,0,0,0,0,0,1,0,0,0,0,1,0,92.7
0,0,0,0,0,0,1,0,0,0,0,0,0,70.4
0,0,0,0,0,0,1,0,0,0,0,0,0,27.3
0,0,0,0,1,0,1,1,0,0,0,0,0,56.7
1,0,0,0,0,0,1,0,0,0,0,0,0,61.9
1,0,0,0,0,0,1,0,0,0,0,0,0,66.1
0,0,0,0,0,0,1,0,0,0,0,0,0,54.4
0,1,0,0,0,0,1,0,0,0,0,0,0,78.3
0,0,0,0,0,1,1,0,0,0,0,0,0,74
0,0,0,0,0,0,1,0,0,0,0,0,0,75
0,0,0,0,0,0,1,0,0,0,0,0,0,91.8
0,0,0,0,0,0,0,1,0,0,0,0,0,85.8
0,0,0,0,0,0,0,0,1,0,0,0,0,86.5
0,0,0,0,0,0,0,1,0,0,0,0,0,83.3
0,0,0,1,0,0,1,0,0,0,0,0,0,86.3
0,0,0,0,0,0,0,0,0,0,0,0,0,87
0,0,0,1,0,0,0,0,0,0,0,0,0,87
0,0,0,0,0,0,0,0,1,0,0,0,0,79.5
