alcoholic hydroxyl ,phenolic hydroxyl ,sulfhydryl,aliphatic amine,aromatic amine,carboxy ,pyridine ,imidazole,pyrrole ,triazole ,cyano,phosphate ,alkynyl,FEHCOOH/FECO
0,0,0,1,0,1,0,0,0,0,0,0,0,0.480392157
0,0,0,1,0,1,0,0,0,0,0,0,0,2.079365079
0,0,0,0,0,0,1,0,0,0,0,0,0,0.970588235
0,0,0,1,0,1,0,0,0,0,0,0,0,1.483333333
0,1,0,0,0,1,0,0,0,0,0,0,0,2.139130435
0,0,1,1,0,1,0,0,0,0,0,0,0,1.017699115
0,0,0,1,0,1,0,0,0,0,0,0,0,2.926829268
0,0,0,1,0,1,0,0,0,0,0,0,0,2.2265625
0,0,0,1,0,1,0,0,0,0,0,0,0,1.764135703
0,0,0,1,0,1,0,0,0,0,0,0,0,2.035714286
0,0,1,1,0,1,0,0,0,0,0,0,0,0.414590747
0,0,0,1,0,1,0,0,1,0,0,0,0,0.077777778
0,0,0,1,0,1,0,0,0,0,0,0,0,2.966183575
0,0,0,0,0,1,1,0,0,0,0,0,0,0.416923077
1,0,0,1,0,0,0,0,0,0,0,0,0,0.296052632
0,0,1,0,0,0,1,0,0,0,0,0,0,0.908794788
0,0,0,0,0,1,0,0,0,1,0,0,0,0.432809773
0,0,0,0,0,1,1,0,0,0,0,0,0,0.714821764
0,0,0,0,0,0,0,0,0,1,0,0,0,0.867052023
0,0,0,0,0,1,1,0,0,0,0,0,0,0.423728814
0,0,0,1,0,0,1,0,0,0,0,0,0,1.654135338
0,0,0,0,0,1,1,0,0,0,0,0,0,0.469230769
0,0,0,1,0,0,0,0,0,1,0,0,0,0.837719298
0,0,0,0,0,0,1,0,0,0,0,0,0,3.333333333
0,0,0,0,0,0,1,0,0,0,0,1,0,0.598275862
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1.219512195
0,0,0,0,1,0,1,1,0,0,0,0,0,0.327868852
1,0,0,0,0,0,1,0,0,0,0,0,0,0.650666667
1,0,0,0,0,0,1,0,0,0,0,0,0,2.032110092
0,0,0,0,0,0,1,0,0,0,0,0,0,0.732484076
0,1,0,0,0,0,1,0,0,0,0,0,0,1.501597444
0,0,0,0,0,1,1,0,0,0,0,0,0,0.321428571
0,0,0,0,0,0,1,0,0,0,0,0,0,0.630434783
0,0,0,0,0,0,1,0,0,0,0,0,0,0.669090909
0,0,0,0,0,0,0,1,0,0,0,0,0,0.640535373
0,0,0,0,0,0,0,0,1,0,0,0,0,1.189873418
0,0,0,0,0,0,0,1,0,0,0,0,0,0.772340426
0,0,0,1,0,0,1,0,0,0,0,0,0,1.241558442
0,0,0,0,0,0,0,0,0,0,0,0,0,0.673076923
0,0,0,1,0,0,0,0,0,0,0,0,0,0.611111111
0,0,0,0,0,0,0,0,1,0,0,0,0,1.5
